field.width,field.height,field.color,simulation.fps,simulation.max_agents,agent.initial_foxes,agent.initial_rabbits,agent.speed_pixels_per_sec,agent.speed_per_frame,fox.replication_mean,fox.replication_sigma,fox.replication_range,fox.death_prob_per_frame,rabbit.replication_rate_per_min,rabbit.replication_prob_per_frame,collision.distance,duration_seconds
600,600,"(20, 20, 20)",60,5000,20,160,120.0,2.0,0,4.5,"[0, 1, 2]",0.005,18.0,0.005,4,19.297
600,600,"(20, 20, 20)",60,5000,20,160,120.0,2.0,0,4.5,"[0, 1, 2]",0.005,18.0,0.005,4,35.939
600,600,"(20, 20, 20)",60,5000,20,160,120.0,2.0,0,4.5,"[0, 1, 2]",0.005,18.0,0.005,4,75.013
